"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8"
2,0439;-2,8840;-18,3253;27,8002;28,9503;-15,1837;7,3109;-10,0617
7,5732;-1,5086;-19,2012;26,7859;28,4523;-14,6677;8,1878;-12,7357
12,7082;-0,1165;-19,8894;25,5994;27,7642;-14,1678;8,8756;-16,3357
18,0494;1,0704;-20,5931;24,2408;27,1120;-13,4799;9,5635;-5,7246
23,2195;2,4458;-21,1248;22,6921;26,0797;-12,7920;10,2514;-182,6848
28,2003;3,8381;-21,4688;21,1611;25,0653;-12,1202;10,9564;-9,6643
33,2176;5,0248;-21,8440;19,4402;23,8787;-11,2604;11,4723;-9,3204
37,8739;6,4172;-21,8440;17,7544;22,5022;-10,4168;11,9883;-8,9926
42,3776;7,6208;-21,8596;15,6718;21,1434;-9,3689;12,5214;-8,4767
46,5196;8,8244;-21,6876;13,7961;19,6123;-8,5416;12,8654;-7,9608
50,4902;10,0451;-21,5311;11,7308;17,8914;-7,3217;13,2267;-7,4448
54,3280;11,0768;-21,2028;9,6827;16,1880;-6,2900;13,3814;-6,9289
57,6320;12,1085;-20,7025;7,4453;14,2950;-5,2747;13,7600;-6,4293
60,5731;13,1575;-20,0146;5,1909;12,4192;-4,0711;13,7427;-5,4467
63,3626;14,0172;-19,3424;3,1425;10,3540;-2,8675;13,9493;-8,4410
65,8286;14,8770;-18,4983;0,9050;8,2888;-1,6640;13,7600;-4,3657
67,7597;15,7543;-17,4667;-1,3324;6,2235;-0,4604;13,7773;-3,4307
69,3472;16,4596;-16,4350;-3,5699;4,1583;0,7432;13,6053;-5,5531
70,5911;16,9755;-15,4350;-5,8073;2,1098;1,9468;13,4506;-5,2993
71,4913;17,4914;-14,0436;-8,0610;-0,1443;3,1672;13,1066;-1,8194
72,0680;18,0424;-12,8561;-10,1263;-2,2095;4,1820;12,7626;-0,7711
72,0883;18,1969;-11,4967;-12,2076;-4,2583;5,3856;12,4358;0,3553
71,9972;18,5760;-9,9494;-14,1006;-6,5121;6,6061;11,9197;-2,0509
71,1572;18,5584;-8,4021;-15,9937;-8,5936;7,6378;11,4209;1,6531
70,1854;18,7656;-6,8548;-17,9025;-10,4705;8,6695;10,7327;2,3409
68,6769;18,5936;-5,3238;-19,6390;-12,5678;9,7012;10,0446;3,0120
66,8239;18,4216;-3,5882;-21,1877;-14,2727;10,7501;9,3565;3,8886
64,6262;18,2671;-2,0575;-22,7674;-16,1816;11,6098;8,6854;4,5765
62,0838;17,9406;-0,3383;-23,9564;-17,9182;12,4869;7,8252;5,2643
59,1966;17,4246;1,3808;-25,3637;-19,4669;13,1748;6,9650;5,9522
55,9449;16,9260;3,1168;-26,4114;-21,0312;13,8626;6,1048;6,6571
52,5401;16,2378;4,6472;-27,2716;-22,4233;14,5679;5,2446;7,1560
48,7710;15,5671;6,3833;-28,1623;-23,6277;15,0838;4,4012;7,8609
44,8483;14,7069;7,9306;-28,6784;-24,8476;15,6171;3,3521;8,3768
40,5429;13,8467;9,4779;-29,2096;-25,8952;15,9611;2,5087;8,9098
36,2745;13,0038;11,0424;-29,5840;-26,7708;16,3051;1,4596;9,2538
31,6425;11,9715;12,4178;-29,5840;-27,4742;16,6840;0,6161;9,5977
26,8378;10,9564;13,8106;-29,5992;-28,0055;16,6665;-0,4329;9,9417
21,8425;9,7520;15,0142;-29,4424;-28,3495;16,8560;-1,2765;10,2857
16,8648;8,5475;16,2178;-29,1136;-28,7240;16,8735;-2,3253;10,6468
