"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8";"Position (mm) Run #9";"Position (mm) Run #10";"Position (mm) Run #11";"Position (mm) Run #12";"Position (mm) Run #13"
-39,9995;-10,2610;-7,0773;30,7880;28,4978;-15,9960;-0,4770;-9,2962;-34,1008;-3,1714;18,0916;17,7686;9,8897
-34,8770;-9,0574;-8,6260;30,8062;29,0318;-15,9960;0,9652;-17,3263;-33,5999;-0,5933;19,4846;17,2701;9,0124
-29,3818;-7,8538;-10,1909;30,6524;29,3758;-16,0118;1,4023;-16,3307;-32,9270;1,9848;20,7059;16,5819;8,3413
-23,9020;-6,6502;-11,5674;30,3083;29,7560;-15,8399;4,8697;-10,3200;-32,0973;4,5628;21,7553;15,8938;7,4811
-18,2353;-5,4630;-12,9600;30,0006;29,7560;-15,6837;6,4126;-10,3200;-30,8937;7,1409;22,6151;15,2231;6,6379
-12,5847;-4,0711;-14,1644;29,3306;29,7923;-15,3556;3,8718;-10,3200;-29,7205;9,7361;23,4927;14,3802;5,5886
-6,7466;-2,8840;-15,3688;28,4704;29,4482;-14,8238;4,6978;-10,3361;-28,1732;12,1424;24,1984;13,3479;4,7453
-0,9085;-1,5086;-16,5891;27,6462;29,1223;-14,5117;5,9522;-9,5820;-26,6412;14,5661;24,7322;12,3156;3,7130
4,9464;-0,1331;-17,6372;26,4418;28,6243;-13,8079;6,4025;-16,4529;-24,9374;16,8006;25,0762;11,3005;2,6807
10,6131;1,2423;-18,4974;25,2553;27,9542;-13,3079;10,0270;-13,4235;-23,0620;19,0528;25,4560;10,0961;1,6484
16,2971;2,6345;-19,3733;23,8787;27,1120;-12,6361;7,4488;-9,3204;-20,9992;21,1332;25,4560;8,8917;0,6161
21,7923;3,8213;-20,0614;22,5378;26,0977;-11,7763;8,7207;-8,9764;-18,9521;23,0242;25,4739;7,7043;-0,4162
27,3055;5,2136;-20,7808;20,8169;24,8933;-10,9165;9,2709;-8,6324;-16,7334;24,9330;25,3198;6,3108;-1,4320
32,6475;6,4002;-21,1092;19,0960;23,7067;-10,0729;9,4086;-8,3047;-14,3271;26,6702;24,9937;5,1232;-2,6694
37,8183;7,7927;-21,6564;17,3927;22,3479;-9,0250;9,9246;-7,7888;-11,9207;28,2355;24,4776;3,7467;-3,5132
42,8366;8,9963;-21,8284;15,5171;20,8169;-8,1977;10,5092;-7,2891;-9,5306;29,6291;23,9972;2,3701;-4,5455
47,4934;10,2170;-22,0315;13,4519;19,0960;-6,9778;10,3028;-6,5686;-6,9525;30,8508;23,1370;0,9936;-5,5942
51,9980;11,2487;-21,8596;11,3866;17,3752;-5,9461;10,4577;-6,2573;-4,3745;31,9008;22,2768;-0,3830;-6,4544
56,1599;12,2804;-21,6876;9,3385;15,6718;-4,9308;10,8188;-5,5859;-1,7964;32,7606;21,4521;-1,7595;-7,3146
59,9790;13,3294;-21,5311;7,0840;13,7961;-3,7272;10,9736;-4,7097;0,7817;33,6753;20,2476;-3,1361;-8,1748
63,4552;14,1892;-21,2028;5,0357;11,7308;-2,5237;11,4037;-3,3792;3,3597;34,0193;19,0608;-4,5126;-9,0512
66,5883;15,0664;-20,7025;2,7983;9,6656;-1,3201;10,8876;-10,3632;5,9378;34,3816;17,6843;-5,9055;-9,7393
69,3984;15,7543;-20,0302;0,5608;7,6004;-0,1165;10,3200;-6,2238;8,5329;34,5904;16,3252;-7,1099;-10,4275
71,6734;16,4421;-19,1705;-1,6766;5,5521;1,0871;10,3200;-1,9748;10,9392;34,4184;14,7939;-8,3144;-11,1317
